Source;Target;Weight
SPD;EU;2570
SPD;Babiš;1591
SPD;RT;16
SPD;Okamura;1078
SPD;Sněmovna;1946
SPD;Ano;1529
SPD;ČSSD;1640
SPD;ODS;942
SPD;Brusel;953
SPD;Poslanecká sněmovna;1161
SPD;Fiala;710
SPD;Praze;390
SPD;TOP 09;809
SPD;Zeman;360
SPD;KDU ČSL;872
SPD;Evropská komise;593
SPD;KSČM;939
SPD;Senát;266
SPD;Svoboda a přímá demokracie;1254
SPD;Praha;165
SPD;Piráti;671
SPD;NATO;272
SPD;STAN;541
SPD;Sobotka;583
SPD;Parlament;400
SPD;Hamáček;379
SPD;COVID-19;67
SPD;ČT;273
SPD;Kalousek;252
SPD;Česká televize;423
SPD;Evropský parlament;441
SPD;Brno;64
SPD;Prahy;208
SPD;Putin;61
SPD;Le Pen;409
SPD;Salvini;387
SPD;ČT 24;85
SPD;Merkelová;276
SPD;Tv Barrandov;92
SPD;Orbán;188
SPD;V 4;110
SPD;Schillerová;71
SPD;Trump;109
SPD;Brně;72
SPD;Spolu;119
SPD;OSVČ;26
SPD;OSN;136
SPD;Evropská rada;24
SPD;Hrad;23
SPD;Agrofert;35
SPD;EET;31
SPD;Havlíček;53
SPD;Bělobrádek;198
SPD;Dukovany;71
SPD;Ostravě;45
SPD;Ústavní soud;79
SPD;Havel;48
SPD;Maláčová;89
SPD;Ministerstvo zdravotnictví;28
SPD;Ministerstvo financí;27
SPD;ČEZ;71
SPD;Vojtěch;61
SPD;David;202
SPD;Klaus;82
SPD;EP;41
SPD;COVID;24
SPD;Bartoš;112
SPD;Český rozhlas;139
SPD;Blatný;49
SPD;Parlamentní listy;181
SPD;CO2;123
SPD;Unie;95
SPD;Nejvyšší kontrolní úřad;164
SPD;Soros;148
SPD;Macron;112
SPD;Hnutí Svoboda a přímá demokracie;199
SPD;Hitler;59
SPD;Svoboda;124
SPD;Ostrava;21
SPD;Komise;58
SPD;NKÚ;102
SPD;Wilderse;165
SPD;ČNB;32
SPD;Masaryk;29
SPD;Juncker;121
SPD;Islámský stát;119
SPD;Rakušan;92
SPD;Plzni;37
SPD;Prima;15
SPD;Prymula;22
SPD;Úřad vlády;18
SPD;Schwarzenberg;67
SPD;OKD;86
SPD;Brna;40
SPD;Youtube;56
SPD;Von der Leyen;65
SPD;Foldyna;121
